object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201532889349300523,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201503209349316020,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,1507072,WIRE/CHECK
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"QUEENSLAND BRAIN INSTITUTE, MARSHALL LABORATORY, UQ FOR LANTERN FISH PROJECT",405000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THE DOW CENTRE FOR SUSTAINABLE ENGINEERING INNOVATION, UQ FOR THE OPERATIONS OF THE DOW CENTRE.",2000000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,SUPPORT AUSTRALIAN INSTITUTE OF BUSINESS AND ECONOMICS,235000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE MCLENNAN AND HOWES COLLABORATIVE SCHOLARSHIP,60000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"ENDOWED SCHOLARSHIPS, EMERGING NEEDS, VARIOUS FACULTIES, DEPARTMENTS AND COLLEGES",59703,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE CENTRE FOR SOCIAL RESPONSIBILITY IN MINING (CSRM) AT SMI FOR RESEARCH ON THE EFFECTIVENESS AND OUTCOMES OF CERTIFICATION SCHEMES IN THE MINING SECTOR.,125000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THOMAS A. PLEIN ENDOWED SCHOLARSHIP FOR US CITIZEN(S) STUDYING IN EITHER THE SCHOOL OF BUSINESS, ECONOMICS OR LAW AT THE BUSINESS ECONOMICS AND LAW FACULTY.",27500,WIRE,FMV
201523159349300987,260069167,FUND SALARY OF PROF,10800,CHECK
201533209349315408,260833212,CHARITABLE,28934,WIRE TRANSFER
201533039349301303,912163512,SCHOOL AID,EFT
201533359349301118,841567873,Cuba,Training Support,10100,Wire Trnsfr
201533359349301118,841567873,Malawi,Training Support,11157,Wire Trnsfr
201533359349301118,841567873,Mexico,Training Support,28500,Wire Trnsfr
201533359349301118,841567873,USA Latinos,Training Support,10143,Wire Trnsfr
201513439349300141,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (subgrants).",1568737,Cheque,0
201522939349300037,580593438,East Asia,American Cultural,10000,Wire
201522859349300807,954749034,SUPPORT UNIVERSITY,CASH WIRE TRANSFER
201503499349300305,237069575,"North America (including Canada and Mexico, but not the United States)",research,5241987,cheque,0
201503519349300545,730739626,Central America and the Caribbean,Ministry support,150000,Check
201503519349300545,730739626,Middle East and North Africa,Pastoral training,5032,Check
201503519349300545,730739626,Europe (Including Iceland & Greenland),Ministry networking,7800,ACH payment
201503519349300545,730739626,Sub-Saharan Africa,Church building,5011,ACH payment
201620339349301002,042111203,East Asia and the Pacific,Research,63660,wire transfer,0
201620339349301002,042111203,Europe (including Iceland and Greenland),Research,45690,check,0
201620339349301002,042111203,"North America (including Canada and Mexico, but not the United States)",Research,41587,check,0
201620339349301002,042111203,South Asia,Research,18343,check,0
201620339349301002,042111203,South America,Research,24796,wire transfer,0
201620309349300107,454135256,EUROPE (INCLUDING ICELAND & GREENLAND),DIABETES RESEARCH,79926,WIRE TRANSFER
201640359349301314,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1867000,Wire Transfer
201543459349300904,986001141,"North America (including Canada and Mexico, but not the United States)",Research,56722000,Wire Cheque Draft,0
201543459349300904,986001141,Sub-Saharan Africa,Research,685000,Wire Cheque Draft,0
201543459349300904,986001141,East Asia and the Pacific,Research,193000,Wire Cheque Draft,0
201543459349300904,986001141,South Asia,Research,128000,Wire Cheque Draft,0
201543459349300904,986001141,Central America and the Caribbean,Research,63000,Wire Cheque Draft,0
201543459349300904,986001141,South America,Research,49000,Wire Cheque Draft,0
201543459349300904,986001141,Europe (including Iceland and Greenland),Research,27000,Wire Cheque Draft,0
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,9376,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,16994,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,9300,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,6945,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,5687,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,8877,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,59763,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,21120,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,20746,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,7319,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,126107,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,38042,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,26477,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,8411,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,6144,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,56803,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,22161,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,12286,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,8099,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,24219,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,5861,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,18271,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,13031,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,5150,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,116484,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,5009,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,14961,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,7601,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,337629,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,8783,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,16702,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,88000,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,12164,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,495164,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,70943,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,9897,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,23655,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,24175,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,8281,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,6434,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,37267,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,6977,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,62000,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,18278,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,6200,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,5587,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,21680,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,6793,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,15374,WIRE
201621379349303347,060646973,MIDDLE EAST AND NORTH AFRICA,SUBAWARD - SPONSORED RESEARCH,9474,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,64021,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,22499,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,31404,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,16843,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,35428,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,176600,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,110782,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,6089,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,63979,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,113354,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,19711,WIRE
201621379349303347,060646973,NORTH AMERICA,SUBAWARD - SPONSORED RESEARCH,24961,WIRE
201621379349303347,060646973,RUSSIA AND THE NEWLY INDEPENDENT STATES,SUBAWARD - SPONSORED RESEARCH,129265,WIRE
201621379349303347,060646973,RUSSIA AND THE NEWLY INDEPENDENT STATES,SUBAWARD - SPONSORED RESEARCH,276099,WIRE
201621379349303347,060646973,RUSSIA AND THE NEWLY INDEPENDENT STATES,SUBAWARD - SPONSORED RESEARCH,58008,WIRE
201621379349303347,060646973,RUSSIA AND THE NEWLY INDEPENDENT STATES,SUBAWARD - SPONSORED RESEARCH,28973,WIRE
201621379349303347,060646973,RUSSIA AND THE NEWLY INDEPENDENT STATES,SUBAWARD - SPONSORED RESEARCH,20871,WIRE
201621379349303347,060646973,SOUTH AMERICA,SUBAWARD - SPONSORED RESEARCH,339444,WIRE
201621379349303347,060646973,SOUTH AMERICA,SUBAWARD - SPONSORED RESEARCH,208595,WIRE
201621379349303347,060646973,SOUTH AMERICA,SUBAWARD - SPONSORED RESEARCH,37694,WIRE
201621379349303347,060646973,SOUTH AMERICA,SUBAWARD - SPONSORED RESEARCH,188943,WIRE
201621379349303347,060646973,SOUTH ASIA,SUBAWARD - SPONSORED RESEARCH,28678,WIRE
201621379349303347,060646973,SOUTH ASIA,SUBAWARD - SPONSORED RESEARCH,380980,WIRE
201621379349303347,060646973,SOUTH ASIA,SUBAWARD - SPONSORED RESEARCH,75828,WIRE
201621379349303347,060646973,SOUTH ASIA,SUBAWARD - SPONSORED RESEARCH,43375,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,21259,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,129063,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,130450,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,60427,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,16803,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,142329,WIRE
201621379349303347,060646973,SUB-SAHARAN AFRICA,SUBAWARD - SPONSORED RESEARCH,37680,WIRE
201631339349302453,362177139,EAST ASIA AND THE PACIFIC,SUBAWARD,11294,WIRE
201631339349302453,362177139,EAST ASIA AND THE PACIFIC,SUBAWARD,111407,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,29876,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,30000,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,260262,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,14210,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,22401,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,2929,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,14365,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,1149,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,7658,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,5000,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,431370,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,89137,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,4900,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,12566,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,142442,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,24277,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,9585,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,228014,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,39546,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,35674,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,14325,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,4250,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,45439,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,563,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,5529,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,3635,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,47860,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,2998,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,3426,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,5683,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,5373,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,14858,WIRE
201631339349302453,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,171334,WIRE
201631339349302453,362177139,MIDDLE EAST AND NORTH AFRICA,SUBAWARD,10666,WIRE
201631339349302453,362177139,MIDDLE EAST AND NORTH AFRICA,SUBAWARD,32424,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,97848,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,728617,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,6058,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,11375,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,29178,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,375506,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,21218,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,130187,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,29097,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,36966,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,49945,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,10159,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,36340,WIRE
201631339349302453,362177139,NORTH AMERICA,SUBAWARD,85247,WIRE
201631339349302453,362177139,RUSSIA AND NEIGHBORING STATES,SUBAWARD,42930,WIRE
201631339349302453,362177139,SOUTH AMERICA,SUBAWARD,53244,WIRE
201631339349302453,362177139,SOUTH ASIA,SUBAWARD,265000,WIRE
201631339349302453,362177139,SOUTH ASIA,SUBAWARD,25451,WIRE
201631339349302453,362177139,SOUTH ASIA,SUBAWARD,49416,WIRE
201631339349302453,362177139,SOUTH ASIA,SUBAWARD,153488,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,32508,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,18823,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,23460,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,27587,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,11258,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,72418,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,64263,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,15356,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,30000,WIRE
201631339349302453,362177139,SUB-SAHARAN AFRICA,SUBAWARD,24094,WIRE
201600439349302830,630288878,"SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA, FASO,",TO PROVIDE EDUCATIONAL ASSISTANCE,69095,WIRE TRANSFER
201601169349300425,390806154,EUROPE,TUITION,12668,CHECK
201601169349300425,390806154,EAST ASIA AND THE PACIFIC,TUITION,24750,CHECK
201630609349300643,450306841,SUB-SAHARAN AFRICA,GRANT TO ALLOW THE ORGANIZATION TO PURCHASE A VEHICLE,34000,WIRE TRANSFER,0,N/A,BOOK
201601309349301480,620476822,Central America and the Caribbean,Subcontracts-Research,330213,Wire,N/A,N/A
201601309349301480,620476822,Central America and the Caribbean,Subcontracts-Research,39920,Wire,N/A,N/A
201601309349301480,620476822,Central America and the Caribbean,Subcontracts-Research,29909,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Research,12865,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Research,50446,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Research,370040,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,325587,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,153580,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,28385,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,115863,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,20020,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,65245,Wire,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,97971,Wire,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,145575,Check,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,88157,Check,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,83098,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,5039,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,26213,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,39485,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,144655,Wire,N/A,N/A
201601309349301480,620476822,Central America and the Caribbean,Subcontracts-Research,96089,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Instruction,211252,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Research,139647,Wire,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Research,97098,Check,N/A,N/A
201601309349301480,620476822,East Asia and the Pacific,Subcontracts-Instruction,75451,Check,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Instruction,63991,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,49438,Wire,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Research,60391,Check,N/A,N/A
201601309349301480,620476822,Europe (Including Iceland and Greenland),Subcontracts-Instruction,62280,Wire,N/A,N/A
201601309349301480,620476822,Middle East and North Africa,Subcontracts-Instruction,225040,Wire,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,20264,Check,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,32237,Check,N/A,N/A
201601309349301480,620476822,North America,Subcontracts-Research,91595,Check,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,4028,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,524255,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,441262,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Research,268246,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Instruction,94638,Wire,N/A,N/A
201601309349301480,620476822,South America,Subcontracts-Instruction,61463,Wire,N/A,N/A
201601309349301480,620476822,South Asia,Subcontracts-Research,14095,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,51465,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,8461,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,8374,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,143901,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,19526,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,25200,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,29350,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Instruction,30892,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research,37343,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Instruction,64415,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontracts-Research and Patient Care,11951386,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,9299,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,52091,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,26999,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,8326,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,32383,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,17392,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,27006,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,17786,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,5556,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,27158,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,56525,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,21224,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,5889,Wire,N/A,N/A
201601309349301480,620476822,Sub-Saharan Africa,Subcontacts-General,5792,Wire,N/A,N/A
201611339349304586,630312914,Europe Including Iceland and Greenland,Program Cost,22101,wire transfer
