object_id,ein,BndRfrncCd,BsnssNmLn1Txt,BndIssrEIN,BndIssdDt,IssPrcAmt,PrpsDsc,DfsdInd,OnBhlfOfIssrInd,PlFnncngInd
201531339349302918,231352685,IRS990ScheduleK,B,PA HIGHER ED FACILITIES AUTHORITY- SERIES C 2005,222243852,70917N7V0,2005-08-18,146112644,REDEEM 1998 BONDS; CAP PROJECTS,false,false,false
201531339349302918,231352685,IRS990ScheduleK,C,PA HIGHER ED FACILITIES AUTHORITY- SERIES A 2009,222243852,70917RUS2,2009-03-16,228289883,VARIOUS CAPITAL PROJECTS,false,false,false
201531339349302918,231352685,IRS990ScheduleK,D,PA HIGHER ED FACILITIES AUTHORITY- SERIES B 2009,222243852,70917RUS2,2009-03-16,44226561,REFUND 2008A (REFUNDING 2002B),false,false,false
201531339349303028,730579265,A,OK INDUST AUTHORITY REVENUE NOTES,730579265,2010-11-30,60000000,"REDMPTION FUND, COST OF ISSUANCE",false,false,false
201501899349300125,111630820,A,NYC INDUSTRIAL DEVELOPMENT AGENCY,132906040,649438EP9,2007-06-28,105368846,REFUND 2000 IDA BOND ISSUE,0,0,0
201541329349301924,231177930,A,PHEFA,232243852,70917PFZ7,2006-02-01,14164259,Residence Hall & Facilities,false,false,false
201541329349301924,231177930,B,PHEFA,232243852,70917R6A8,2012-05-21,19896653,Advance Refinance of Bonds,false,false,false
201541329349301924,231177930,C,PHEFA,232243852,70917SEL3,2013-05-01,13610477,Current Refinance of Bonds,false,false,false
201541329349302349,042108346,A,BECKER COLLEGE,042108346,57583RHA6,2006-12-01,11445000,BUILDING ON NEW DORM & ATHLETIC FIELD RENOVATION,0,0,0
201541349349300004,030214106,A,VEDA,036024497,2011-04-04,8500000,FOR BUILDINGS AND STRUCTURES,false,false
201541319349302549,941156646,A,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT AUTHORITY REVENUE BONDS,680164610,999999999,2013-12-19,13706566,REFINANCING,0,0,0
201531349349305268,240804602,A,CITY OF WILKES-BARRE FINANCE AUTHORITY,205684698,2013-06-03,45000000,"CURRENT REFUNDING OF VRDB'S, AUX GYM CONSTRUCTION, ACQUISITION & RENOVATION.",0,0,0
201541339349303674,362167725,A,IL Finance Authority,861091967,45200FVM8,2009-03-26,139158000,Constr./Renov. Museum Facil.,false,false,false
201541339349303674,362167725,B,IL Finance Authority,861091967,45200F3N7,2010-06-09,113537854,See Part VI,false,false,false
201541339349303674,362167725,C,IL Finance Authority,861091967,45203HMP4,2012-10-18,66292422,See Part VI,false,false,false
201531349349302393,840404231,RetDoc1053100001,A,COLORADO EDUCATION & CULTURAL FACILITIES - SERIES 2013,840896727,19645RSR3,2013-03-01,24159389,REFUNDING SERIES 2005B BONDS,0,0,0
201531349349302393,840404231,RetDoc1053100001,B,COLORADO EDUCATION & CULTURAL FACILITIES - SERIES 2012,840896727,19645RPP0,2001-04-20,9031913,REFUNDING SERIES 2001B BONDS,0,0,0
201531349349302393,840404231,RetDoc1053100001,C,COLORADO EDUCATION & CULTURAL FACILITIES - SERIES 2008,840896727,19645RFA4,2008-03-04,9953292,REFUNDING SERIES 1997 BONDS,0,0,0
201531349349302393,840404231,RetDoc1053100001,D,COLORADO EDUCATION & CULTURAL FACILITIES - SERIES 2007,840896727,1964584T7,2007-10-10,45839717,REFUNDING SERIES 2001A AND 2005B BONDS,0,0,0
201541289349301949,580566243,IRS990ScheduleK,A,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,359900TAS,2007-03-21,64041214,SEE SCHEDULE O,false,false,false
201541289349301949,580566243,IRS990ScheduleK,B,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,2009-09-01,1500000,SEE SCHEDULE O,false,false,false
201541289349301949,580566243,IRS990ScheduleK,C,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,2009-09-01,6100000,SEE SCHEDULE O,false,false,false
201541289349301949,580566243,IRS990ScheduleK,D,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,3599002LO,2012-04-09,28349973,SEE SCHEDULE O,false,false,false
201531349349302798,250965591,RetDoc1053100001,A,SEE SCHEDULE K PART VI,250965591,91335VHP4,2009-03-31,452532151,"SEE SCHEDULE K, PART VI",0,0,0
201531349349302798,250965591,RetDoc1053100001,B,SEE SCHEDULE K PART VI,250965591,91335VFL5,2008-12-17,306735020,"SEE SCHEDULE K, PART VI",0,0,0
201531349349302798,250965591,RetDoc1053100001,C,SEE SCHEDULE K PART VI,250965591,91335VFU5,2009-01-27,44309750,"SEE SCHEDULE K, PART VI",0,0,0
201531349349302798,250965591,RetDoc1053100001,D,SEE SCHEDULE K PART VI,250965591,91335VDH6,2009-07-10,401451947,"SEE SCHEDULE K, PART VI",0,0,0
201531349349302838,363377698,A,GLENDALE AZ IDA SERIES 2007 BONDS,521767454,378286GD4,2007-04-18,67184077,SEE SCHEDULE K PART VI,false,false,false
201531349349302838,363377698,B,GLENDALE AZ IDA SERIES 2010 BONDS,521767454,378286HC5,2010-05-27,159999058,SEE SCHEDULE K PART VI,false,false,false
201531349349302838,363377698,C,GLENDALE AZ IDA SERIES 2013 BONDS,521767454,2013-11-13,106430000,SEE SCHEDULE K PART VI,false,false,false
201541329349302559,580619030,A,Montgomery County Development Authority,581325567,613235AB6,2007-10-01,10000000,Construction of facilities,0,0,0
201541319349303004,042103567,A,MASSACHUSETTS DEVELOPMENT FIN AGENCY SERIES 2012,043431814,2012-08-02,26465000,REFINANCE DEBT,false,false,false
201541319349303004,042103567,B,MA HEALTH & EDUCATIONAL FAC AUTHORITY,042456011,2010-04-01,10000000,REFINANCE DEBT AND CONSTRUCTION,false,false,false
201541319349303034,362177139,RetDoc1053100001,A,IFA 100000000 REVENUE BONDS SERIES 2004B,861091967,45200BHH4,2004-11-10,100000000,SEE SUPPLEMENTAL INFORMATION,0,0,0
201541319349303034,362177139,RetDoc1053100001,B,IFA 80000000 ADJ RATE REV REFUNDING BONDS 2004C,861091967,45200BJG4,2004-11-30,80000000,SEE SUPPLEMENTAL INFORMATION,0,0,0
201541319349303034,362177139,RetDoc1053100001,C,IFA 244030000 REVENUE BONDS SERIES 2007,861091967,45200B6F0,2007-06-28,249996429,SEE SUPPLEMENTAL INFORMATION,0,0,0
201541319349303034,362177139,RetDoc1053100001,D,IFA 123604000 ADJ RATE DEMAND REV SERIES 2008,861091967,45200FEG0,2008-04-03,123604000,SEE SUPPLEMENTAL INFORMATION,0,0,0
201541339349300819,580531392,A,Downtown Development Authority of Cleveland,521780214,2006-11-02,1625000,Purchase and development of real estate and student apartment complex.,0,0,0
201541339349300819,580531392,B,Downtown Development Authority of Cleveland,521780214,2011-03-17,8500000,Purchase and development of real estate and student apartment complex.,0,0,0
201541339349303749,231365966,A,EAST NORRITON TOWNSHIP INDUSTRIAL DEVELOPMENT AUTHORITY,2012-09-04,7400000,TO REFUND 2004 BONDS AND FUND CAPITAL EXPENDITURES,0,0,0
201531349349307123,250717890,A,MCKEESPORT INDUSTRIAL DEVELOPMENT AUTHORITY,251448115,2008-09-29,10000000,CAPITAL PURCHASES AND RENOVATIONS,0,0,0
201531349349307123,250717890,B,ALLEGHENY COUNTY HIGHER EDUCATION BUILDING AUTHORITY,2012-02-29,35870000,SEE DESCRIPTION IN PART VI FOLLOWING,0,0,0
201531349349307703,951911219,A,California Municipal Finance Authority,201563466,2013-11-14,29925000,See Part VI,0,0,0
201531349349307703,951911219,B,California Educational Facilities Authority,521705592,130178A63,2011-05-19,15309804,See Part VI,0,0,0
201541289349300034,010263385,A,MAINE HEALTH & HIGHER ED F,010314384,560425LU2,2003-02-01,4620000,RESIDENCE HALL,0,0,1
201541289349300034,010263385,B,MAINE HEALTH & HIGHER ED F,010314384,560427JA5,2010-06-24,1560000,BUILDINGS,0,0,1
201541349349308699,131624225,A,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,64983TUQ4,2004-07-01,102208109,CONSTRUCTION AND RENOVATIONS,false,true,false
201541349349308699,131624225,B,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,649905PK6,2009-07-23,142206373,REFUNDING OF 1998 AND CAPITAL EXPE,false,true,false
201541349349308699,131624225,C,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,649906KS2,2011-09-28,93390365,REFUNDING 2001 AND CAPITAL EXPENDI,false,true,false
201541349349306629,042104736,A,MASSACHUSETTS DEVELOPMENT FINANCE AGENCY,043431814,2012-05-10,26000000,"REFINANCE OLD DEBT, NEW FACILITY CONSTRUCTION",0,0,0
201541349349306629,042104736,B,MASSACHUSETTS DEVELOPMENT FINANCE AGENCY,043431814,2013-02-13,12500000,"RENOVATE, EQUIP AND FURNISH FACILITIES",0,0,0
201541329349300104,060646959,A,CHEFA SERIES G,060646959,20774U2Z7,2010-05-18,197314059,CHEFA SERIES H - REFUND PRIOR BOND,false,false,false
201541329349300104,060646959,B,CHEFA SERIES H,060646959,20774U3A1,2010-05-18,20105000,CHEFA SERIES H - REFUND PRIOR BOND,false,false,false
201541349349306859,042103578,A,Massachusetts Development Finance Agency,Mount Holyoke College Issue Series 2008,043431814,57583RUS2,2008-03-27,40231354,Construct and equip campus facilities,0,0,0
201541349349306859,042103578,B,Massachusetts Development Finance Agency,Mount Holyoke College Issue Series 2011A and 2011B,043431814,57583UFU7,2011-06-09,76131942,To refund 2001 bond issue and to construct and improve campus facilities,0,0,0
201541329349304059,381366958,A,ECONOMIC DEVELOPMENT CORP OF THE COUNTY OF LENAWEE,521302758,526010ADF,2009-04-28,8700000,TO FINANCE REFUNDING FOR SERIES 2006 BONDS,0,0,0
201541329349304059,381366958,B,ECONOMIC DEVELOPMENT CORP OF THE COUNTY OF LENAWEE,521302758,2010-12-21,15434000,CONSTRUCTION,0,0,0
201541329349304059,381366958,C,ECONOMIC DEVELOPMENT CORP OF THE COUNTY OF LEWANEE SERIES,521302758,2013-12-01,7500000,CONSTRUCTION,0,0,0
201541349349308929,430654872,A,STATE OF MISSOURI HEALTH & EDUCATIONAL FACILITIES,431178966,606901P42,2003-07-29,20460000,SEE PART VI,false,false,false
201541349349308929,430654872,B,STATE OF MISSOURI HEALTH & EDUCATIONAL FACILITIES,431178966,6069014R4,2008-09-02,71930000,SEE PART VI,false,false,false
201541349349308929,430654872,C,STATE OF MISSOURI HEALTH & EDUCATIONAL FACILITIES,431178966,6069014P8,2008-09-02,99885000,SEE PART VI,false,false,false
201541319349301189,231352635,A,LANCASTER HIGHER EDUCATION AUTHORITY,232224897,514328FY4,2006-05-01,56364018,MULTIPLE - SEE PART VI,false,false,false
201541319349301189,231352635,B,LANCASTER HIGHER EDUCATION AUTHORITY,232224897,514328GB3,2008-06-19,29891597,MULTIPLE - SEE PART VI,false,false,false
201541349349308439,952544535,A,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT AUTHORITY,680164610,130911V56,2005-11-16,95415000,NOTE 1,0,0,0
201541349349308439,952544535,B,CALIFORNIA EDUCATION FACILITIES AUTHORITY,521705592,130178YD2,2011-03-15,18640000,CURRENT REFUNDING: 1998 CEFA. SEE NOTE 2.,0,0,0
201541349349308439,952544535,C,CALIFORNIA MUNICIPAL FINANCE AUTHORITY,201563466,13048TKY8,2011-10-06,43574459,"CURRENT REFUNDING: 1999 CEFA, 2001 COUNTY OF SAN DIEGO COP. SEE NOTE 2",0,0,0
201541349349308439,952544535,D,CALIFORNIA EDUCATION FACILITIES AUTHORITY,201563466,13048TKY8,2012-07-03,10796502,CURRENT REFUNDING OF 2002 CEFA. SEE NOTE 2.,0,0,0
201531349349303993,550356985,A,THE COUNTY COMMISSION OF BROOKE COUNTY,556000302,112512AC0,2011-07-01,24765000,REFINANCING AND CAPITAL IMPORVEMENTS,false,false,false
201541349349307199,550357039,A,CHARLESTON BUILDING COMMISSION,556000160,2003-09-22,8000000,RATRIE HALL CONSTRUCTION,false,false,false
201541349349307199,550357039,B,KANAWHA COUNTY BUILDING COMMISSION,311023488,2007-12-21,8285000,MIDDLE HALL CONTSTRUCTION,false,false,false
201541349349307199,550357039,C,CHARLESTON BUILDING COMMISSION,556000160,2009-06-17,21000000,APT/GARAGE CONSTRUCTION,false,false,false
201541349349307234,133297197,A,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,64983QFY0,2005-06-16,22710746,REFUNDS SERIES 1994A 09/13/94,0,0,0
201541349349307234,133297197,B,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,64983Q6U8,2006-11-21,72763601,ACQUISITION OF 300 WEST 20TH STREET,0,0,0
201541349349307234,133297197,C,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,6499055W2,2010-12-08,295923149,UNIVERSITY CENTER CONSTRUCTION,0,0,0
201541349349307234,133297197,D,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,649906LJI,2011-10-20,37140274,CURR REF ISS 10/16/1 & 3/15/99,0,0,0
201541329349303689,480547702,A,KANSAS INDEPENDENT COLLEGE FINANCE AUTHORITY,481233911,48526HWM4,2012-03-13,16040000,REFINANCE '02/'06/'09 BONDS,false,false,false
201541349349303494,042103634,IRS990ScheduleK1,A,MHEFA SERIES N,042456011,57586CV36,2008-03-27,140600000,"REFUNDED AUG-04, JAN-06",false,false,false
201541349349303494,042103634,IRS990ScheduleK1,B,MHEFA SERIES O,042456011,57586EBG5,2008-11-13,83752144,CONST & EQUIP FACILITY,false,false,false
201541349349303494,042103634,IRS990ScheduleK1,C,MHEFA SERIES M,042456011,57586EJT9,2009-06-11,66548467,REFUNDED MAY-1998,false,false,false
201541349349303494,042103634,IRS990ScheduleK1,D,MDFA SERIES P,043431814,57583R7L3,2011-02-08,50532192,REFUNDED APR-2001,false,false,false
201541349349306829,720423889,R000012,A,LOUISIANA PUBLIC FACILITIES AUTHORITY,720895871,546398SJ8,2007-05-31,192565000,ADVANCE REFUNDING,1,0,0
201541349349306829,720423889,R000012,B,LOUISIANA PUBLIC FACILITIES AUTHORITY,720895871,546398ST6,2007-05-31,62180000,ADVANCE REFUNDING,0,0,0
201541349349306829,720423889,R000012,C,LOUISIANA PUBLIC FACILITIES AUTHORITY,720895871,546398WN4,2007-05-31,33485000,ADVANCE REFUNDING,1,0,0
201541349349306829,720423889,R000012,D,LOUISIANA PUBLIC FACILITIES AUTHORITY,720895871,2009-12-09,30000000,DORMITORY FINANCING,0,0,0
201541969349301369,900790361,A,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,359900TB3,2007-04-19,93515000,SEE PART VI,true,false,false
201531919349300013,135562308,RetDoc1053100001,A,DORMITORY AUTHORITY OF THE STATE OF NEW YORK (CUSIP # 64983TF24),146000293,64983TF24,2004-09-09,154646150,SEE SUPPLEMENTAL INFORMATION,1,0,0
201531919349300013,135562308,RetDoc1053100001,B,DORMITORY AUTHORITY OF THE STATE OF NEW YORK (CUSIP # 649903QP9),146000293,649903QP9,2007-07-12,129995163,SEE SUPPLEMENTAL INFORMATION,1,0,0
201531919349300013,135562308,RetDoc1053100001,C,DORMITORY AUTHORITY OF THE STATE OF NEW YORK (CUSIP # 649903U66),146000293,649903U66,2008-07-18,616076776,SEE SUPPLEMENTAL INFORMATION,1,0,0
201531919349300013,135562308,RetDoc1053100001,D,DORMITORY AUTHORITY OF THE STATE OF NEW YORK (CUSIP # 649905VF0),146000293,649905VF0,2009-12-10,419957678,SEE SUPPLEMENTAL INFORMATION,0,0,0
201501959349300980,381988915,A,MICHIGAN HIGHER EDUCATION FACILITIES AUTHORITY,521285150,594519N55,2008-06-10,85000000,PURCHASE AND CONSTRUCTION OF FACILITIES,0,0,0
201521919349301207,251094922,RetDoc1053100001,A,ALLEGHENY CO HIGHER EDU BUILDING AUTHORITY,251650137,2013-08-01,31670000,SEE PART VI,1,0,0
201521919349301207,251094922,RetDoc1053100001,B,MT LEBANON INDUSTRIAL DEV AUTHORITY,205476955,2007-01-19,5000000,SEE PART VI,0,0,0
201521919349301207,251094922,RetDoc1053100001,C,MT LEBANON INDUSTRIAL DEV AUTHORITY,205476955,2006-12-27,3830000,SEE PART VI,0,0,0
201521919349301207,251094922,RetDoc1053100001,D,AUTH FOR IMPROV IN MUNICIPALITIES,251196358,2004-08-16,7000000,SEE PART VI,0,0,0
201521959349301502,131624202,A,DASNY,146000293,6499037N5,2009-01-29,51832990,See Part VI,false,false,false
201521959349301502,131624202,B,DASNY,146000293,649906UN2,2012-05-02,34510715,See Part VI,false,false,false
201521959349301502,131624202,C,DASNY,146000029,649906VK7,2012-05-23,33511613,See Part VI,false,false,false
201521359349304237,580566116,A,PRIVATE COLLEGES AND UNIVERSITIES AUTHORITIES 2004A,581407780,74265LRA8,2004-07-29,9709094,TO REFUND PRIOR ISSUE 08/17/1993,0,0,0
201521359349304237,580566116,B,PRIVATE COLLEGES AND UNIVERSITIES AUTHORITIES 2004B,581407780,74269JAA7,2004-07-29,11595000,TO REFUND PRIOR ISSUE 08/17/1993,0,0,0
201521359349304237,580566116,C,PRIVATE COLLEGES AND UNIVERSITIES AUTHORITIES 2009,581407780,74265LWK0,2009-07-09,42784759,TO REFUND PRIOR ISSUE 02/02/1999,0,0,0
201521359349304237,580566116,D,PRIVATE COLLEGES AND UNIVERSITIES AUTHORITIES 2011,581407780,742649MA1,2011-04-28,17830000,TO REFUND PRIOR ISSUE 02/02/1999,0,0,0
201521359349307382,840402510,A,City of Colorado Springs,846000574,196626CS2,2005-05-17,28056932,Refund Series 1999 bonds,false,false,false
201521359349307382,840402510,B,El Paso County Colorado,846000764,28337LCB2,2010-02-18,51597849,"Refund Series 2003, 2004, & 2006",false,false,false
201521359349307382,840402510,C,El Paso County Colorado,846000764,28337LCX4,2012-05-24,39399704,Cap Improvements & Cost of Bonds,false,false,false
201521409349300032,590704726,A,HIGHER EDUC FACILITIES FINANCING AUTHORITY,900058227,34073TCF2,2010-11-16,23825000,FINANCE CAPITAL IMPROVEMENTS,0,0,0
201531359349301278,221487164,IRS990ScheduleK,A,NJ EDU FAC AUTH DREW 2003 SERIES C,221829511,64605LDZ8,2003-05-29,22872229,CAPITAL IMPROVEMENTS,true,false,false
201531359349301278,221487164,IRS990ScheduleK,B,NJ EDU FAC AUTH DREW 2007 SERIES D,221829511,646065CWO,2007-04-12,30557236,ADVANCE REFUDING AND NEW MONEY,true,false,false
201531359349301278,221487164,IRS990ScheduleK,C,NJ EDU FAC AUTH DREW 2008 SERIES B,221829511,646065CE0,2008-04-04,11353764,CURRENT REFUNDING,false,false,false
201531359349301278,221487164,IRS990ScheduleK,D,NJ EDU FAC AUTH DREW 2008 SERIES I,221829511,2011-06-27,12000000,CAPITAL IMPROVEMENTS,false,false,false
201531359349301828,540505990,RetDoc1053100001,A,EDUCATIONAL FACILITIES REVENUE REFUNDING - 2005,540505990,9277806U5,2005-05-01,20950000,TO FINANCE CAPITAL IMPROVEMENTS AT THE UNIVERSITY AND REFUND 2000 SERIES,0,0,0
201531359349301828,540505990,RetDoc1053100001,B,VIRGINIA SMALL BUSINESS FINANCING AUTHORITY-2008 SERIES,540505990,928104KQ0,2008-12-01,70000000,LOAN TO THE HAMPTON ROADS PROTON BEAM THERAPY INSTITUTE,0,0,0
201531359349301828,540505990,RetDoc1053100001,C,VIRGINIA SMALL BUSINESS FINANCING AUTHORITY-2009 SERIES,540505990,928104KS6,2009-06-01,50000000,LOAN TO THE HAMPTON ROADS PROTON BEAM THERAPY INSTITUTE,0,0,0
201531359349301828,540505990,RetDoc1053100001,D,HISTORICALLY BLACK COLLEGES AND UNIVERSITIES CAPITAL FINANCING PROGRAM-2013,540505990,2013-05-31,57604377,TO LEGALLY DEFEASE 2009 SERIES BONDS,0,0,0
201531359349304048,210634501,IRS990ScheduleK,A,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY,221829511,64605lgg7,2003-10-23,125451946,FIN ADVANCE REFUNDING OF VAR Notes,true,false,false
201531359349304048,210634501,IRS990ScheduleK,C,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY,221829511,64605luu0,2005-04-12,148571158,FIN REFUNDING O/S NOTES&ADV REFUND,true,false,false
201531359349305888,231352630,RetDoc1053100001,A,PENNSYLVANIA HIGHER EDUCATIONAL FACILITIES AUTHORITY 2011A,232243852,70917RX75,2011-05-16,160304025,"NEW CONSTR/BLDG RENOV/REFUNDING OF 1997, 1998, 1998-2, 2003B",0,0,0
201531359349305888,231352630,RetDoc1053100001,B,PENNSYLVANIA HIGHER EDUCATIONAL FACILITIES AUTHORITY 2007B,232243852,70917RNP6,2007-10-04,30000000,SCIENCE BLDG/DORMITORY/WELLNESS CENTER,0,0,0
201531359349305888,231352630,RetDoc1053100001,C,PENNSYLVANIA HIGHER EDUCATIONAL FACILITIES AUTHORITY 2007A,232243852,70917RMJ1,2007-10-04,96463410,SCIENCE BLDG/DORMITORY/WELLNESS CENTER,0,0,0
201531359349305888,231352630,RetDoc1053100001,D,PENNSYLVANIA HIGHER EDUCATIONAL FACILITIES AUTHORITY 2005A&B,232243852,70917N3B8,2005-02-16,61312145,CAPITAL IMPROVEMENTS/EQUIPMENT/ADV REFUNDING OF 1997/1999 BONDS,0,0,0
201541359349303314,580566133,A,Development Authority of Floyd County,237182908,2013-11-20,109452000,Current Refunding,0,0,0
201541359349304334,042103589,RetDoc1053100001,A,MASS DEVELOPMENT FINANCE AGENCY,043431814,57583F3B5,2003-12-19,26000000,REFINANCE EXISITING DEBT AND FUND NEW CAPITAL PROJECTS,1,0,0
201541359349304334,042103589,RetDoc1053100001,B,MASS DEVELOPMENT FINANCE AGENCY,043431814,2006-05-19,7000000,FUND NEW CAPITAL PROJECTS,1,0,1
201541359349304334,042103589,RetDoc1053100001,C,MASS HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,042456011,57586EGP0,2009-03-10,56221393,FUND NEW CAPITAL PROJECTS,0,0,0
201541359349304334,042103589,RetDoc1053100001,D,MASS DEVELOPMENT FINANCE AGENCY,043431814,57583R7Z2,2011-03-30,32013314,REFINANCE EXISTING DEBT AND FUND NEW CAPITAL PROJECTS,0,0,0
201541359349304534,951644035,A,California Municipal Finance Authority,201563466,2014-05-01,49884975,Construction loan - Refinance of the 12/20/11 Bonds,0,0,0
201501359349300725,390806251,990K:1,A,WHEFA 2008B-1,391337855,97710BES7,2008-10-01,31795000,Various construction projects,false,false,false
201501359349300725,390806251,990K:1,B,WHEFA 2007A & 2007B,391337855,97710V4Y1,2007-10-23,55000000,Various construction projects,false,true,false
201501359349302765,383071514,A,MICHIGAN FINANCE AUTHORITY,800596186,2012-06-18,96000000,SEE PART VI,0,0,0
201501359349302875,042104847,IRS990ScheduleK,A,Mass Health & Edu Facilities Authority,042456011,57586CQS7,2007-01-04,76536465,NEW CONSTRUCTION & 1999 ADV REFUND,true,false,false
201501359349302875,042104847,IRS990ScheduleK,B,Mass Health & Edu Facilities Authority,043431814,57583UAA6,2011-03-24,92077256,CONSTR AND 2007 CURRENT REFUNDING,false,false,false
201501359349302875,042104847,IRS990ScheduleK,C,Mass Health & Edu Facilities Authority,042456011,57586CPX7,2006-04-03,73396573,1996 & 2003 CURRENT REFUNDING,true,false,false
201501359349302875,042104847,IRS990ScheduleK,D,Mass Health & Edu Facilities Authority,042456011,57585KW79,2003-04-02,115049757,CONSTRC AND 1993 CURRENT REFUNDING,false,false,false
201501359349303475,720408915,A,LOUISIANA PUBLIC FACILITIES AUTHORITY,720895871,000000000,2011-05-01,14940000,REFINANCE BONDS,false,false,false
201501359349305340,620475697,A,FRANKLIN CO HEALTH & EDUCATION FACILITIES BOARD,521282324,BS1353325,2005-12-01,13390188,ACADEMIC BUILDING & DORM RENOVATIONS,1,0,0
201501359349305340,620475697,B,FRANKLIN CO HEALTH & EDUCATION FACILITIES BOARD,521282324,NONEAVAIL,2009-07-30,14400000,REDEMPTION OF PRIOR BONDS & ACADEMIC BUILDING RENOVATIONS,0,0,0
201501359349305340,620475697,C,FRANKLIN CO HEALTH & EDUCATION FACILITIES BOARD,521282324,353325DG5,2012-11-08,41051769,"DORM RENOVATION, NEW DORM CONSTRUCTIONS, & REFINANCE OF PRIOR BONDS",0,0,0
201501359349305375,540505941,A,EDA OF CITY OF LYNCHBURG SERIES 2010,541225193,2013-12-03,7086690,REISSUE OF BONDS WHICH REFUNDED PRIOR BOND ISSUANCE,0,0,0
201501359349305375,540505941,B,EDA OF AMHERST COUNTY SERIES 2010,830477842,2013-11-15,5028228,REISSUE OF BONDS WHICH REFINANCED AN ANTIC. NOTE,0,0,0
201501359349305375,540505941,C,IDA OF COUNTY OF CAMPBELL SERIES 2013,521309406,2013-12-19,8547000,REFUNDED PRIOR BOND ISSUANCE AND FINANCED CAP. EXPENDITURES,0,0,0
201501359349306050,530196603,IRS990ScheduleK1,A,DISTRICT OF COLUMBIA,536001131,254839N90,2007-04-11,185814145,ADV REF 2001A/CUR REF 1988C-E/CAP,false,false,false
201501359349306050,530196603,IRS990ScheduleK1,B,DISTRICT OF COLUMBIA,536001131,25484JAC4,2007-04-11,57875000,ADV REF 1998A/CUR REF 1988C-E/CAP,false,false,false
201501359349306050,530196603,IRS990ScheduleK1,C,DISTRICT OF COLUMBIA,536001131,25484JAF7,2007-07-10,57450000,CUR REF 1988C-E/CAP CNSTRTN & RNVT,false,false,false
201501359349306050,530196603,IRS990ScheduleK1,D,DISTRICT OF COLUMBIA,536001131,25484JBH2,2010-12-29,45000000,CAPITAL CONSTRUCTION & RENOVATION,false,false,false
201501479349300605,460224588,A,COUNTY OF LINCOLN SOUTH DAKOTA,466000082,2005-12-01,7000000,"LAND, BUILDINGS AND STRUCTURES, EQUIPMENT, REFUNDING OF PRIOR ISSUE",0,0,0
201501479349300605,460224588,B,COUNTY OF LINCOLN SOUTH DAKOTA,466000082,2008-12-10,9000000,"BUILDINGS AND STRUCTURES, EQUIPMENT",0,0,0
201511359349301276,236002304,A,Delaware County Authority,231973437,246003LH8,2008-05-08,61050987,Capital improvements to College facilities and redemption 2003,0,0,0
201511359349301276,236002304,B,Delaware County Authority,231973437,246003LX3,2010-04-29,44944290,New dorm and partial refund 2008 Bonds,0,0,0
201511359349301276,236002304,C,Delaware County Authority,231973437,246003MG9,2010-11-15,45929465,Refund 2000 Bonds,0,0,0
201511359349301281,951642394,IRS990ScheduleK,A,CEFA - SERIES 2003B,521705592,130175YS5,2003-07-08,13957853,REFINANCING SERIES 1993 AND 1993B,false,false,false
201511359349301281,951642394,IRS990ScheduleK,B,CEFA - SERIES 2005,521705592,130175700,2005-08-03,69564157,REFINANCING SERIES 1997A AND 1997C,false,false,false
201511359349301281,951642394,IRS990ScheduleK,C,CEFA - SERIES 2007A,521705592,130178HC3,2007-05-24,266125246,CONST. & REFIN. SERIES 2003A AND C,false,false,false
201511359349301281,951642394,IRS990ScheduleK,D,CEFA - SERIES 2009A,521705592,130178RW8,2009-01-15,216627251,CONSTRUCTION & HOSPITAL ACQUISITIO,false,false,false
201511359349305646,540534105,A,INDUSTRIAL DEVELOPMENT AUTHORITY - TOWN OF AMHERST VIRGINIA,541804155,031489BY2,2011-09-01,10000000,CURRENT REFUNDING BOND ISSUE 2008,0,0,0
201511359349305646,540534105,B,INDUSTRIAL DEVELOPMENT AUTHORITY - TOWN OF AMHERST VIRGINIA,546001113,031489BX4,2006-02-23,21041170,"REFUNDING OF 1998A, 1998B, 1999, 2000, AND 2001 BONDS",0,0,0
201511359349306141,580566205,A,DEVELOPMENT AUTHORITY OF FULTON COUNTY,581506878,000359900,2007-05-31,45300000,REFUND BONDS AND CONSTRUCTION,true,false,false
201511359349306141,580566205,B,Rice Capital Access Program LLC-Series 2013,580566205,2013-09-10,18998381,Future Advance Project Funding Bon,false,false,false
